Country,Energy Type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,Coal,1997,27531.62260528301,27885.761500624147,59832.326571,5906491.02599,219729794633437.78,21691151498.26163,9057.83033391605
World,Natural Gas,1997,24529.83428936271,24229.503189954306,59832.326571,5906491.02599,219729794633437.78,21691151498.26163,4396.182316834
World,Petroleum & Other Liquids,1997,43414.81125429819,43789.93511027,59832.326571,5906491.02599,219729794633437.78,21691151498.26163,9588.149198400144
World,Nuclear,1997,6998.600198955704,6998.600198955704,59832.326571,5906491.02599,219729794633437.78,21691151498.26163,0
World,Renewables,1997,8980.310781676757,9138.237689934602,59832.326571,5906491.02599,219729794633437.78,21691151498.26163,0
World,All,1998,112096.44337431213,113357.86611372411,61263.857052,5985040.94597,218061457776041.12,21303045814.104652,23112.850596809
World,Coal,1998,27351.867697127862,27800.521119788984,61263.857052,5985040.94597,218061457776041.12,21303045814.104652,8918.455039363995
World,Natural Gas,1998,24727.377062282452,24692.575087361605,61263.857052,5985040.94597,218061457776041.12,21303045814.104652,4422.460435481
World,Petroleum & Other Liquids,1998,43923.9846398204,44636.1428730704,61263.857052,5985040.94597,218061457776041.12,21303045814.104652,9771.935121965327
World,Nuclear,1998,7123.82804751598,7123.82804751598,61263.857052,5985040.94597,218061457776041.12,21303045814.104652,0
World,Renewables,1998,8958.374805507905,9104.798985987132,61263.857052,5985040.94597,218061457776041.12,21303045814.104652,0
World,All,1999,114206.8430783905,113312.51832372656,63358.515519,6063581.745,219289124510072.84,20986563863.81977,23152.164345777
World,Coal,1999,27465.950618572955,27383.048167412417,63358.515519,6063581.745,219289124510072.84,20986563863.81977,8859.043568391446
World,Natural Gas,1999,25356.176451806514,25256.18303563632,63358.515519,6063581.745,219289124510072.84,20986563863.81977,4456.588039317
World,Petroleum & Other Liquids,1999,44859.822870750824,44021.074991858186,63358.515519,6063581.745,219289124510072.84,20986563863.81977,9836.532738071268
World,Nuclear,1999,7351.419592310122,7351.419592310122,63358.515519,6063581.745,219289124510072.84,20986563863.81977,0
World,Renewables,1999,9163.452662268073,9300.792536509518,63358.515519,6063581.745,219289124510072.84,20986563863.81977,0
World,All,2000,117925.5627849813,117185.99602100273,66398.356393,6141880.59902,223542854269708.7,20677823884.107826,23494.916283117
World,Coal,2000,28913.6971887493,28238.052822035774,66398.356393,6141880.59902,223542854269708.7,20677823884.107826,8901.519950071843
World,Natural Gas,2000,26260.589481242525,26166.625480688686,66398.356393,6141880.59902,223542854269708.7,20677823884.107826,4571.850603326
World,Petroleum & Other Liquids,2000,45914.34000174422,45822.37097751499,66398.356393,6141880.59902,223542854269708.7,20677823884.107826,10021.545729717078
World,Nuclear,2000,7517.425721762606,7517.425721762606,66398.356393,6141880.59902,223542854269708.7,20677823884.107826,0
World,Renewables,2000,9307.711823800386,9441.521019000675,66398.356393,6141880.59902,223542854269708.7,20677823884.107826,0
World,All,2001,118758.36520368645,118854.1695954463,67935.205642,6220160.56762,222288409513589.03,20352769766.85232,24258.080886456
World,Coal,2001,29206.367991230476,29489.552679155287,67935.205642,6220160.56762,222288409513589.03,20352769766.85232,9372.45887465767
World,Natural Gas,2001,26356.278452784478,26690.47897814636,67935.205642,6220160.56762,222288409513589.03,20352769766.85232,4736.163826731
World,Petroleum & Other Liquids,2001,46260.560788422605,45601.67648580414,67935.205642,6220160.56762,222288409513589.03,20352769766.85232,10149.458185069314
